text,label,clean_text,text_length
F:The system shall display Events in a vertical table by time.,non-functional,fthe system shall display event vertical table time,8
F:The system shall display the Events in a graph by time.,non-functional,fthe system shall display event graph time,7
L:All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,non-functional,lall business rule specified dispute system shall compliance guideline regulation e regulation z,13
L:The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,non-functional,lthe dispute application must maintain detailed history every action user take dispute case ensures complete audit trail question arise later regard particular dispute case,24
L:All actions that modify an existing dispute case must be recorded in the case history.,non-functional,lall action modify existing dispute case must recorded case history,10
F:The Disputes System must be accessible by both internal and external users.,non-functional,fthe dispute system must accessible internal external user,8
F:The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,non-functional,fthe dispute system must prevent user accessing dispute case belong cardholder base,12
F:The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,non-functional,fthe dispute system facilitate direct data entry dispute case via user interface support real time response user,17
F:The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,non-functional,fthe dispute system must provide different level access regard dispute case initiation followup action,14
F:The Disputes System shall provide view access capability for authorized users of the application.,non-functional,fthe dispute system shall provide view access capability authorized user application,11
F:The Disputes System shall provide update access capability for authorized users of the application.,non-functional,fthe dispute system shall provide update access capability authorized user application,11
F:The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,non-functional,fthe dispute system must allow user select disputable transaction based age transaction user interface initiate dispute ticket retrieval request chargeback notification selected transaction,23
F:The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,non-functional,fthe dispute system must provide user ability initiate single dispute case multiple transaction belong single merchant,16
F:The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,non-functional,fthe dispute system provide user ability create initiate ticket retrieval request part ticket retrieval creation process system must prompt user enter required information create ticket retrieval request ticket retrieval request document sent merchant inquiring validity transaction,36
F:The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,non-functional,fthe dispute system must allow user create three unique type ticket retrieval request three type ticket retrieval request request original receipt request copy receipt request portfolio portfolio consists documentation would provide proof purchase documentation received car rental agency sale receipt,40
F:The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,non-functional,fthe dispute system must prevent external user requesting original receipt request original receipt restricted internal user,16
F: The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,non-functional,f dispute system must provide confirmation user upon creation ticket retrieval request contains following information dispute case number type retrieval requested copy original portfolio date merchant response due,28
F:The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,non-functional,fthe dispute system shall allow user create initiate chargeback request system must prompt user enter required information initiate chargeback request chargeback request result printed chargeback notification sent merchant indicating account charged back proof provided disputed transaction valid,37
F: The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,non-functional,f dispute system must provide confirmation user upon creation chargeback request confirmation must contain following information dispute case number type chargeback requested pending immediate date merchant response due,28
F:The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,non-functional,fthe dispute system shall prevent creation duplicate dispute request time,10
F: The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,non-functional,f dispute system shall accurately provide list possible reason code given transaction list possible reason code must derived based type transaction industry merchant belongs according business rule defined dispute system,30
F:The Disputes System must provide the ability to view existing dispute cases.,non-functional,fthe dispute system must provide ability view existing dispute case,10
F: The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,non-functional,f dispute system must provide search functionality search method must include ability search dispute case number merchant account number cardmember account number issuer number addition criterion search functionality must allow user limit result search date range type dispute ticket retrieval request chargeback notification case status open closed dispute reason code,50
F:A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,non-functional,fa list dispute case meet entered search criterion must provided user list case must differentiate type andor status case color coding line item list example open case yellow closed case gray,31
F:The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,non-functional,fthe dispute system shall provide user ability view history activity occurred dispute case,13
F:The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,non-functional,fthe dispute system shall provide user ability follow dispute case via followup action list available follow action given dispute case must filtered status case access level user,27
F: The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,non-functional,f dispute system shall record name user date activity creates modifies dispute case system detailed history action taken case including date user performed action must maintained auditing purpose,28
F: For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,non-functional,f systematic nonuser initiated action occurs case dispute aging process case activity generated upon next logon user initiated dispute case must notified systematic action occurred dispute case,27
F:All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,non-functional,fall letter request must formatted according guideline specified print letter utility system,12
F:Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,non-functional,fany dispute case closed month must purged online dispute database,10
O:The product must support Internet Explorer 5.5 and above.,non-functional,othe product must support internet explorer,6
O:The product must support Mozilla Firefox 1.0 and above.,non-functional,othe product must support mozilla firefox,6
O:The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,non-functional,othe product shall interface choice part system provides feed recycled part data,12
O:The product shall run on the existing hardware for all environments.,non-functional,othe product shall run existing hardware environment,7
O:The product shall adhere to the corporate Architecture guidelines,non-functional,othe product shall adhere corporate architecture guideline,7
LF:The product shall comply with corporate User Interface Guidelines,non-functional,lfthe product shall comply corporate user interface guideline,8
LF:The product shall comply with corporate color scheme,non-functional,lfthe product shall comply corporate color scheme,7
LF:The appearance of the product shall appear professional,non-functional,lfthe appearance product shall appear professional,6
PO:The software product is expected to run on Windows or Linux platforms.,non-functional,pothe software product expected run window linux platform,8
US:The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,non-functional,usthe product shall easy use adjuster collision estimator adjuster collision estimator shall find product easy use,16
US:The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,non-functional,usthe product shall increase productivity collision estimator collision estimator shall agree productivity increase within month using product,17
US:Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,non-functional,ususers shall feel satisfied using product user satisfied product,9
US:The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,non-functional,usthe product shall easy learn adjuster collision estimator product shall learned two day onsite training,15
US:The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,non-functional,usthe user shall easily locate instruction using product user help found within system,13
PE:The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,non-functional,pethe search recycled part shall take longer second search result shall returned second,13
PE:The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,non-functional,pethe search preferred repair facility shall take longer second preferred repair facility returned within second,15
PE:The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,non-functional,pethe recycled part audit report shall returned user within second audit report shall returned within second,16
PE:The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,non-functional,pethe preferred repair facility rating shall saved within second save shall occur within second,14
A:The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,non-functional,athe product shall adhere corporate online availability schedule application brought within scheduled outage per availability schedule,16
A:The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,non-functional,athe product shall achieve uptime product shall fail available online time,11
SC:The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,non-functional,scthe product shall able handle simultaneous user system shall perform user time,12
SC: The average number of recycled parts records per day shall be 50 000.,non-functional,sc average number recycled part record per day shall,9
SC: The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,non-functional,sc product shall able handle concurrent user within year initial launch,11
O: For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,non-functional,estimator product shall able operated repair facility dirty noisy condition,10
O:The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,non-functional,othe product shall interface choiceparts system per day approximately,9
O:The maintenance of the product will fall within the established corporate maintenance windows.,non-functional,othe maintenance product fall within established corporate maintenance window,9
O:The product shall be supported using the corporate support center.,non-functional,othe product shall supported using corporate support center,8
O:Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,non-functional,oproduct installation upgrade shall handled middleware technology team within established launch time frame,13
SE:Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,non-functional,seonly adjuster request recycled part audit report user without adjuster role shall request recycled part audit,16
SE:Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,non-functional,seonly adjuster supervisor role update preferred repair facility rating user without supervisor role cannot access repair facility rating,18
SE:Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,non-functional,seonly collision estimator shall search recycled part user without collision estimator role shall access search recycled part,17
SE:Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,non-functional,seonly valid data shall entered system invalid data shall entered system,11
SE:One insurance company shall not be able to view another insurance companys claim data.,non-functional,seone insurance company shall able view another insurance company claim data,11
SE:The product shall free of computer viruses.,non-functional,sethe product shall free computer virus,6
SE:The system shall prevent malicious attacks including denial of service.,non-functional,sethe system shall prevent malicious attack including denial service,9
L:The product must comply with Sarbanes-Oxley.,non-functional,lthe product must comply sarbanesoxley,5
L:The product shall comply with the estimatics laws relating to recycled parts usage.,non-functional,lthe product shall comply estimatics law relating recycled part usage,10
L:The product shall comply with insurance regulations regarding claims processing.,non-functional,lthe product shall comply insurance regulation regarding claim processing,9
F: The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,non-functional,f user shall search preferred repair facility using vehicle vehicle location radius mile,13
F: The vehicle data shall include vehicle year  make  and model,non-functional,f vehicle data shall include vehicle year make model,9
F: The vehicle location shall include street address  city  state  and zipcode,non-functional,f vehicle location shall include street address city state zipcode,10
F: The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,non-functional,f system shall resolve zipcode street address city state zipcode unknown,11
F:The search radius shall be between 1 and 30 miles,non-functional,fthe search radius shall mile,5
F:The system shall locate the preferred repair facility with the highest ratings for the input criteria,non-functional,fthe system shall locate preferred repair facility highest rating input criterion,11
F:The adjuster shall enter the preferred repair facility on the estimate assignment.,non-functional,fthe adjuster shall enter preferred repair facility estimate assignment,9
F:The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,non-functional,fthe adjuster shall able override preferred repair facitlity estimate assignment,10
F:The preferred repair facility shall be returned to the user.,non-functional,fthe preferred repair facility shall returned user,7
F:The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,non-functional,fthe system shall return list repair facility within radius preferred repair facility cannot determined,14
F:The estimator shall search for available recycled parts using damaged vehicle parts information.,non-functional,fthe estimator shall search available recycled part using damaged vehicle part information,12
F:The estimator shall search for available recycled parts using a list of preferred parts suppliers.,non-functional,fthe estimator shall search available recycled part using list preferred part supplier,12
F:The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,non-functional,fthe system shall search available recycled part supplied vehicle part supplier,11
F:The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,non-functional,fthe estimator shall search zipcode radius mile part found preferred part supplier,12
F:The system shall retain the available recycled parts and suppliers returned from the search.,non-functional,fthe system shall retain available recycled part supplier returned search,10
F:The available recycled parts information and their suppliers shall be returned to the user.,non-functional,fthe available recycled part information supplier shall returned user,9
F:The estimator shall apply selected recycled parts to the collision estimate.,non-functional,fthe estimator shall apply selected recycled part collision estimate,9
F:The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,non-functional,fthe estimator shall apply recycled part collision estimate available part returned,11
F:The adjuster shall review the collision estimate.,non-functional,fthe adjuster shall review collision estimate,6
F:The adjuster shall request a recycled parts audit of the collision estimate.,non-functional,fthe adjuster shall request recycled part audit collision estimate,9
F:The recycled parts search results provided to the estimator shall be retrieved by the system.,non-functional,fthe recycled part search result provided estimator shall retrieved system,10
F:The system shall generate an audit report based on the available recycled parts and the collision estimate.,non-functional,fthe system shall generate audit report based available recycled part collision estimate,12
F:The audit report shall include the total number of recycled parts used in the estimate.,non-functional,fthe audit report shall include total number recycled part used estimate,11
F:The audit report shall include the number of available recycled parts from the original search results.,non-functional,fthe audit report shall include number available recycled part original search result,12
F: The audit report shall include the percentage of available recycled parts used in the estimate,non-functional,f audit report shall include percentage available recycled part used estimate,11
F:The audit report shall include the total score of the audit which sums the indivual line items.,non-functional,fthe audit report shall include total score audit sum indivual line item,12
F:The audit report shall be displayed to the user.,non-functional,fthe audit report shall displayed user,6
F:The audit report shall be available to other adjusters at later points in time.,non-functional,fthe audit report shall available adjuster later point time,9
F:The user shall select to view the preferred repair facility ratings.,non-functional,fthe user shall select view preferred repair facility rating,9
F:The current repair facility ratings shall be displayed to the user.,non-functional,fthe current repair facility rating shall displayed user,8
F:The system will display a blank set of ratings if there are not ratings yet defined.,non-functional,fthe system display blank set rating rating yet defined,9
F:The user shall enter new ratings based on the audit report,non-functional,fthe user shall enter new rating based audit report,9
F:The ratings shall be from a scale of 1-10,non-functional,fthe rating shall scale,4
F:The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,non-functional,fthe rating shall include category attempted use recycled part actual use recycled part,13
F:The user shall select to save the preferred repair facility ratings.,non-functional,fthe user shall select save preferred repair facility rating,9
F:The preferred repair facility ratings shall be saved by the system.,non-functional,fthe preferred repair facility rating shall saved system,8
O: The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,non-functional,product must work database management system dbms market whether dbms colocated product machine located different machine computer network,18
O:The product will function alongside server software on any operating system where the Java runtime can be installed.,non-functional,othe product function alongside server software operating system java runtime installed,11
O:The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,non-functional,othe product require collaboration database management system dbms dbms may located machine product separate machine residing computer network,18
O: The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,non-functional,product must make use webapplication server technology open source example include apache web server tomcat jboss application server,18
O: A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,non-functional,database management system oracle db mysql hsql need integrated product,10
